Id,Hazard
6,3.5
7,6.8
8,7.0
9,3.7
10,3.5
11,3.3
13,7.3
14,4.4
16,3.5
17,3.5
18,10.9
20,4.0
27,6.5
28,4.7
29,3.8
30,3.5
34,3.0
35,2.9
36,5.7
37,5.6
38,2.6
40,3.1
42,5.2
46,5.9
47,2.8
48,3.3
49,10.1
51,6.5
52,6.2
53,1.3
54,3.4
55,5.6
56,4.3
57,3.8
60,7.4
61,4.6
64,7.0
65,5.1
66,6.6
68,4.5
70,3.4
71,2.4
75,3.3
76,6.0
78,6.7
80,2.7
81,2.5
82,7.8
83,7.1
85,4.1
86,2.6
87,5.4
89,5.2
90,8.1
91,6.9
92,4.4
95,6.6
97,6.9
99,7.2
101,6.2
102,4.1
103,4.4
104,4.3
107,5.5
108,2.9
111,4.7
112,9.7
115,4.1
119,5.1
121,3.7
124,5.2
128,7.4
130,5.8
131,4.2
133,7.9
134,7.1
137,4.6
138,5.7
142,2.9
143,5.1
144,4.0
145,4.0
147,4.1
148,7.1
152,7.9
154,10.2
158,2.6
159,11.0
160,8.4
161,6.6
164,4.2
165,4.0
166,4.6
167,2.9
169,5.3
170,5.6
171,5.5
175,3.4
177,4.4
178,11.7
180,7.4
182,4.5
184,10.7
185,7.7
186,5.4
190,3.9
191,5.4
192,2.4
195,8.0
196,6.0
197,4.6
198,5.6
199,11.4
200,5.2
204,4.2
205,5.1
207,3.0
208,3.5
209,9.6
211,6.4
216,10.6
217,2.7
220,3.0
223,5.4
224,7.1
230,4.7
232,3.3
235,4.9
236,3.8
238,7.5
240,4.3
242,6.4
244,4.8
245,4.1
248,6.6
251,2.9
256,6.0
258,7.7
259,6.5
261,8.1
267,2.7
268,8.1
270,4.2
272,8.5
273,6.4
275,3.1
276,3.9
277,4.3
279,4.4
283,2.3
284,4.1
286,5.3
287,3.2
288,2.4
289,5.7
292,5.5
293,4.8
295,6.0
297,4.4
301,5.0
303,4.3
304,6.2
305,4.3
308,2.1
309,6.4
313,4.2
314,3.9
315,6.6
316,3.5
318,11.5
320,4.7
324,7.8
325,3.4
326,2.9
327,3.3
328,4.9
332,3.4
333,10.3
336,4.9
339,5.3
340,6.2
342,3.1
344,11.4
345,6.9
346,3.9
349,4.3
353,3.1
355,4.3
360,3.2
363,7.4
366,7.9
367,3.2
369,6.5
371,4.9
372,4.2
374,4.3
375,4.3
378,2.8
379,2.3
381,7.8
382,3.7
384,4.4
385,3.0
387,3.8
388,5.2
389,5.6
390,4.3
393,6.1
394,6.0
395,4.7
397,4.0
398,4.1
399,4.7
403,6.4
404,3.7
406,3.3
407,3.3
410,4.4
411,5.2
412,1.3
413,10.5
417,5.5
419,4.1
422,5.4
425,3.0
426,4.3
427,4.8
432,7.0
434,3.7
437,2.2
438,3.8
440,4.7
441,4.2
443,2.9
445,5.7
447,5.3
449,3.0
450,3.1
451,2.5
453,4.2
455,2.3
456,6.5
459,4.5
461,4.0
463,4.8
466,4.6
467,4.5
469,5.5
470,8.2
472,3.7
477,3.4
481,3.8
485,6.7
492,7.3
494,5.5
497,7.2
503,4.6
504,4.8
507,6.8
509,3.0
511,10.9
512,3.8
513,2.5
516,9.0
517,2.1
518,1.8
522,5.2
525,3.3
526,3.5
527,5.8
529,3.7
534,5.3
538,3.7
540,6.8
541,3.1
542,4.7
543,9.1
544,10.1
546,3.0
547,5.0
550,4.6
554,2.7
556,1.1
558,5.8
559,2.6
560,3.4
564,4.3
565,1.6
566,5.4
567,8.8
568,4.7
570,4.9
571,3.9
575,3.2
576,7.8
585,3.1
586,5.9
589,3.2
590,4.4
591,4.1
593,5.9
594,4.1
595,2.9
596,7.5
597,5.6
598,4.0
599,4.1
600,4.9
601,4.3
609,3.8
613,5.2
619,5.8
620,6.6
621,5.3
622,7.4
623,3.2
625,4.8
626,3.3
628,4.0
629,6.1
633,6.0
634,4.4
635,9.5
636,3.4
637,4.2
638,4.8
639,5.0
640,3.9
643,5.1
645,4.8
646,6.7
647,3.4
649,2.4
650,7.3
654,4.1
656,3.2
657,4.9
661,9.0
662,2.2
663,5.9
664,3.1
667,4.9
668,5.8
672,5.3
673,6.8
675,4.6
676,2.3
677,4.7
678,3.9
679,6.4
682,3.0
684,3.2
686,4.5
687,5.6
688,2.5
689,4.7
690,4.9
691,7.2
693,3.8
694,3.9
695,2.5
696,3.7
699,3.7
702,6.4
703,4.1
704,3.4
705,4.0
708,6.6
709,3.9
710,5.2
711,5.0
712,4.8
713,4.8
714,9.2
724,4.3
725,5.0
727,3.5
729,2.4
731,5.5
732,2.0
735,3.7
736,4.7
738,3.7
739,3.4
741,6.1
744,5.6
745,4.3
749,4.2
750,3.5
753,3.4
754,6.6
756,4.2
759,8.2
763,5.7
764,3.1
