Id,Hazard
6,2.2
7,6.6
8,7.7
9,3.7
10,3.1
11,5.7
13,6.0
14,5.8
16,4.7
17,4.7
18,9.9
20,3.3
27,10.7
28,7.2
29,3.6
30,4.4
34,3.3
35,6.3
36,7.5
37,5.9
38,3.5
40,4.3
42,3.6
46,3.3
47,5.1
48,7.5
49,7.5
51,4.9
52,4.0
53,2.1
54,3.1
55,3.3
56,7.2
57,2.6
60,7.3
61,6.6
64,8.5
65,6.8
66,4.4
68,6.6
70,2.9
71,1.9
75,3.2
76,6.6
78,7.0
80,4.3
81,8.1
82,7.1
83,7.2
85,3.6
86,4.1
87,4.4
89,3.3
90,6.6
91,6.6
92,4.1
95,6.7
97,6.3
99,6.2
101,2.4
102,4.9
103,3.8
104,7.7
107,7.7
108,2.3
111,3.5
112,8.4
115,4.7
119,4.9
121,4.5
124,6.6
128,9.0
130,8.0
131,4.2
133,5.4
134,5.0
137,4.8
138,3.8
142,8.5
143,5.8
144,7.1
145,6.7
147,6.3
148,4.3
152,2.6
154,15.3
158,5.4
159,6.2
160,3.0
161,4.4
164,3.9
165,4.4
166,3.5
167,5.2
169,5.4
170,5.2
171,3.4
175,2.8
177,4.5
178,5.5
180,9.1
182,2.4
184,13.3
185,7.2
186,5.8
190,5.4
191,3.3
192,5.8
195,6.2
196,5.2
197,5.7
198,5.5
199,5.8
200,6.3
204,7.1
205,6.7
207,1.4
208,5.0
209,9.4
211,6.8
216,8.1
217,1.8
220,5.4
223,7.7
224,4.5
230,4.4
232,4.2
235,3.6
236,7.6
238,2.9
240,2.7
242,4.2
244,4.7
245,4.4
248,3.4
251,4.1
256,5.4
258,8.5
259,5.7
261,6.5
267,5.3
268,7.8
270,4.2
272,10.1
273,6.3
275,3.2
276,4.4
277,5.0
279,5.2
283,4.7
284,4.6
286,3.6
287,3.4
288,2.6
289,8.0
292,5.8
293,5.1
295,3.4
297,2.0
301,2.9
303,5.5
304,7.3
305,3.6
308,5.0
309,4.4
313,5.8
314,9.9
315,6.2
316,4.9
318,5.0
320,7.2
324,5.1
325,3.5
326,3.6
327,3.2
328,7.2
332,3.4
333,7.9
336,2.2
339,3.9
340,7.4
342,4.8
344,4.4
345,4.9
346,1.9
349,2.6
353,4.9
355,5.5
360,2.8
363,4.9
366,3.5
367,6.8
369,5.5
371,6.7
372,4.3
374,2.5
375,4.9
378,4.8
379,5.7
381,2.9
382,3.4
384,6.1
385,3.8
387,6.0
388,1.6
389,3.7
390,6.1
393,4.9
394,4.0
395,4.9
397,2.0
398,3.7
399,5.8
403,5.0
404,3.4
406,3.5
407,2.8
410,4.1
411,3.9
412,1.4
413,4.4
417,7.3
419,8.4
422,5.9
425,5.5
426,7.5
427,7.6
432,5.1
434,3.4
437,3.0
438,2.4
440,5.3
441,4.3
443,3.1
445,5.6
447,3.1
449,5.4
450,5.2
451,5.4
453,6.4
455,3.2
456,7.4
459,2.5
461,4.7
463,4.6
466,5.6
467,3.8
469,6.0
470,10.4
472,3.7
477,4.9
481,3.8
485,5.2
492,5.0
494,5.6
497,3.0
503,2.8
504,4.4
507,5.4
509,3.3
511,3.0
512,4.0
513,1.7
516,11.8
517,1.8
518,4.4
522,6.3
525,3.9
526,3.4
527,5.9
529,4.9
534,6.5
538,4.8
540,7.5
541,2.8
542,5.8
543,12.7
544,8.8
546,2.4
547,4.0
550,4.5
554,2.9
556,4.5
558,4.3
559,2.8
560,4.2
564,3.9
565,2.5
566,4.7
567,10.7
568,5.5
570,3.4
571,4.7
575,2.9
576,4.9
585,2.4
586,5.8
589,3.0
590,2.1
591,3.4
593,2.2
594,2.7
595,3.1
596,3.7
597,7.3
598,5.0
599,3.4
600,2.3
601,7.0
609,6.2
613,6.6
619,3.8
620,6.7
621,3.3
622,3.5
623,2.9
625,6.5
626,4.3
628,4.3
629,7.3
633,3.2
634,4.0
635,10.8
636,6.2
637,4.5
638,4.2
639,3.2
640,3.6
643,5.7
645,4.8
646,3.6
647,4.0
649,4.9
650,5.5
654,6.6
656,5.1
657,4.0
661,5.8
662,3.6
663,3.1
664,3.6
667,3.2
668,4.2
672,4.0
673,3.7
675,3.9
676,3.6
677,6.4
678,8.1
679,6.4
682,4.5
684,4.5
686,2.6
687,7.9
688,4.4
689,5.0
690,4.4
691,4.5
693,4.7
694,3.7
695,2.4
696,4.4
699,5.1
702,7.4
703,4.3
704,4.1
705,3.0
708,7.0
709,5.5
710,3.8
711,4.3
712,4.1
713,7.1
714,5.5
724,4.8
725,3.4
727,2.8
729,3.3
731,9.5
732,3.8
735,4.1
736,5.3
738,3.9
739,4.9
741,5.2
744,3.9
745,6.5
749,6.8
750,4.3
753,2.8
754,3.8
756,2.5
759,5.1
763,2.1
764,3.4
765,9.3
770,8.1
773,4.6
774,5.8
778,4.3
780,4.9
781,8.1
783,7.7
784,5.5
790,4.2
791,5.6
792,3.7
793,4.1
794,5.9
795,3.2
796,4.1
801,6.0
802,7.8
805,7.7
808,5.6
809,7.6
813,6.0
814,8.5
815,2.0
816,7.9
817,2.6
821,3.9
822,6.8
823,4.0
825,3.2
826,4.7
830,3.6
832,3.7
833,3.6
835,3.7
837,2.2
838,2.7
839,4.6
841,5.1
842,5.7
844,4.6
853,3.9
855,5.6
858,6.5
859,4.5
860,3.1
861,3.8
862,2.0
868,5.0
869,8.6
874,6.4
875,3.4
877,8.2
879,3.8
885,5.4
886,5.4
887,6.6
892,4.2
894,3.4
896,6.7
898,2.7
899,1.7
900,5.5
901,3.4
903,5.6
904,6.9
906,3.7
907,6.6
908,5.1
909,6.3
915,2.6
916,7.5
917,4.6
921,3.9
922,4.0
923,3.5
924,4.1
927,7.2
929,3.1
932,3.9
934,2.3
935,9.1
937,5.8
940,2.6
944,5.8
946,5.0
948,5.6
950,5.7
952,4.5
953,6.0
956,3.6
959,2.4
960,6.7
961,5.1
